spec,dps,item_level,fight_name,fight_length
Feral Druid,163979.25,468,The Stone Guard,186531
Combat Rogue,157778.48,470,The Stone Guard,186531
Arms Warrior,167559.82,464,The Stone Guard,186531
Blood DeathKnight,379292.63,472,The Stone Guard,186531
Blood DeathKnight,28834.6,463,The Stone Guard,186531
Survival Hunter,209689.65,470,The Stone Guard,186531
Survival Hunter,132805.92,469,The Stone Guard,186531
Frost Mage,170439.99,468,The Stone Guard,186531
Brewmaster Monk,191064.69,467,The Stone Guard,186531
Destruction Warlock,190798.29,471,The Stone Guard,186531
Blood DeathKnight,187043.07,470,The Stone Guard,186531
Blood DeathKnight,183095.93,470,The Stone Guard,186531
Survival Hunter,186010.25,470,The Stone Guard,186531
Arms Warrior,258745.41,467,The Stone Guard,186531
Retribution Paladin,208210.16,471,The Stone Guard,186531
Survival Hunter,154136.18,470,The Stone Guard,186531
Survival Hunter,237088.7,469,The Stone Guard,186531
Shadow Priest,103398.43,465,The Stone Guard,186531
Assassination Rogue,163651.54,466,The Stone Guard,186531
Feral Druid,88680.5,468,Feng the Accursed,348042
Arms Warrior,84906.62,464,Feng the Accursed,348042
Blood DeathKnight,96571.81,472,Feng the Accursed,348042
Survival Hunter,107923.45,470,Feng the Accursed,348042
Survival Hunter,97373.35,469,Feng the Accursed,348042
Frost Mage,84516.56,468,Feng the Accursed,348042
Brewmaster Monk,90466.23,467,Feng the Accursed,348042
Destruction Warlock,5686.26,469,Feng the Accursed,348042
Destruction Warlock,89335.31,471,Feng the Accursed,348042
Unholy DeathKnight,94105.96,470,Feng the Accursed,348042
Unholy DeathKnight,102247.15,470,Feng the Accursed,348042
Survival Hunter,114477.62,470,Feng the Accursed,348042
Elemental Shaman,99280.57,471,Feng the Accursed,348042
Arms Warrior,104367.18,467,Feng the Accursed,348042
Survival Hunter,111100.39,470,Feng the Accursed,348042
Retribution Paladin,83878.06,471,Feng the Accursed,348042
Survival Hunter,104824.48,470,Feng the Accursed,348042
Survival Hunter,120014.78,469,Feng the Accursed,348042
Elemental Shaman,101111.69,471,Feng the Accursed,348042
Shadow Priest,79394.19,465,Feng the Accursed,348042
Assassination Rogue,94274.82,466,Feng the Accursed,348042
Blood DeathKnight,183093.97,470,The Stone Guard,186533
Combat Rogue,157776.79,470,The Stone Guard,186533
Frost Mage,170438.16,468,The Stone Guard,186533
Blood DeathKnight,28834.29,463,The Stone Guard,186533
Survival Hunter,154134.52,470,The Stone Guard,186533
Survival Hunter,186008.26,470,The Stone Guard,186533
Survival Hunter,132804.5,469,The Stone Guard,186533
Feral Druid,163977.49,468,The Stone Guard,186533
Blood DeathKnight,379288.56,472,The Stone Guard,186533
Destruction Warlock,190796.24,471,The Stone Guard,186533
